nombre;codigo;;
CALDAS;8371;;
LA LIBERTAD;8372;;
RAFAEL URIBE URIBE;8373;;
LA UNION;8374;;
LA GLORIA;8375;;
LA CAMPI—A;8376;;
VISTA HERMOSA;8377;;
BRISAS DEL PACIFICO;8378;;
NUEVO AMANECER;8379;;
EL CAMBIO;8380;;
JORGE ELIECER GAITAN;8381;;
LA DIGNIDAD;8382;;
PUERTA DEL MAR;8383;;
2O DE JULIO;8384;;
CITRONELA;8385;;
ZAMORANO;8386;;
URBANIZACION LOS MANGOS;8387;;
LA VEGA;8388;;
URBANIZACION BRISAS DEL NORTE;8390;;
URBANIZACION LOS CAIMITOS;8391;;
URBANIZACION VILLA DEL CAIMITO;8392;;
CORONADO;8393;;
URBANIZACION 2O DE JULIO;8394;;
URBANIZACION SIMON BOLIVAR;8395;;
URBANIZACION VILLA DIANA;8396;;
URBANIZACION LA ESPERANZA;8397;;
URBANIZACION MONTECLARO;8398;;
URBANIZACION VILLA DEL ROSARIO;8399;;
URBANIZACION HAROLD EDER;8400;;
URBANIZACION HUGO VARELA MONDRAGON;8401;;
SANTIAGO EDER;8402;;
CIUDADELA CONFAUNION;8403;;
URBANIZACION ENMANUEL;8404;;
POBLADO DE LOURDES;8405;;
CIUDAD BELEN;8406;;
CARBONERA;8407;;
PALMA REAL;8408;;
BOSQUES DE MORELIA;8409;;
URBANIZACION VILLA CLAUDIA;8410;;
INDUSTRIAL;8411;;
URBANIZACION IGNACIO TORRES GIRALDO;8412;;
URBANIZACION JUAN PABLO II;8413;;
URBANIZACION SANTA TERESITA;8414;;
LA BENEDICTA;8415;;
ESTONIA;8416;;
BERLIN;8417;;
SANTA ISABEL;8418;;
VERSALLES;8419;;
MIRRI—AO ALTO;8420;;
MIRRI—AO BAJO;8421;;
URBANIZACION LOS SAMANES;8422;;
LAS MERCEDES;8423;;
